"lfc.LB"	"lfc.high_pCA"	"lfc.low_pCA"	"lfc.glucose"	"lfc.acetate"
"PP_2959"	0	0	0	0.19383	0
"PP_3464"	0	0	0	0.19355	0
"PP_1430"	0	0	-0.002093	0.19294	0
"PP_5010"	0	0	0	0.19243	0
"PP_1515"	0	0	0	0.19212	0
"hutG"	0	0	0	0.1914	0
"PP_0614"	0	0	0	0.19064	0
"arfB"	0	0	0	0.19058	0
"PP_1397"	0	0	0	0.18956	0
"PP_0549"	0	0	0	0.18951	0
"ybhP-I"	0	0	0	0.18901	0
"PP_3057"	0	0	0	0.18899	0
"fdhD"	0	0	0	0.18898	0
"PP_2434"	0	0	0	0.18889	0
"PP_3169"	0	0	0	0.18887	0
"PP_4425"	0	0	0	0.18856	0
"PP_0910"	0	0	0	0.18823	0
"hisP"	0	0	0	0.18703	0
"PP_3681"	0	0	0	0.18627	0
"rseP"	0	0	0	0.18625	0
"cheY"	0	0	0	0.18516	0
"ydcS"	0	0	0	0.18451	0
"PP_2770"	0	0	0	0.18449	0
"yeaE"	0	-0.015263	0	0.20148	0
"paaK"	0	-0.014358	0	0.19875	0
"PP_2372"	0	-0.0068818	0	0.19398	-0.0064868
"PP_5667"	0	-0.014079	0	0.19023	0
"PP_4502"	0	-0.016657	0	0.18254	0
"PP_0498"	0	-0.026485	0	0.19016	0
"PP_3510"	0	-0.026486	0	0.18055	0
"PP_1834"	0	-0.023051	0	0.18474	-0.019062
"trmA"	0	0.021868	0	0.18515	0
"PP_3660"	0	0.011003	0	0.17294	0
"mgtC"	0	0	0	0.18132	0
"PP_1191"	0	0	0	0.18105	0
"PP_2501"	0	0	0	0.18056	0
"PP_3558"	0	0	0	0.18003	0
"PP_3392"	0	0.00052321	0	0.17917	0
"purU-I"	0	0	0	0.17975	0
"PP_0244"	0	0	0	0.17959	0
"cheZ"	0	0	0	0.17946	0
"PP_2840"	0	0	0	0.17941	0
"PP_2332"	0	0	0	0.17895	0
"PP_mr44"	0	0	0	0.17851	0
"ccmH"	0	0	0	0.17847	0
"PP_0413"	0	0	0	0.17846	0
"PP_0280"	0	0	0	0.18349	0
"PP_0919"	0	0	0	0.18345	0
"PP_3328"	0	0	0	0.18321	0
"PP_1824"	0	0	0	0.18309	0
"PP_0509"	0	0	0	0.18199	0
"PP_2297"	0	0	0	0.18183	0
"PP_0249"	0	-0.00055445	0	0.18231	0
"PP_1561"	0	-0.0032221	0	0.18117	-0.0021834
"PP_2267"	0	0	0	0.17768	0
"livF-II"	0	0	0	0.17715	0
"PP_2673"	0	0	0	0.17715	0
"PP_5549"	0	0	0	0.17693	0
"PP_5403"	0	0	0	0.17639	0
"tnpS"	0	0	0	0.17589	0
"PP_1897"	0	0	0	0.17587	0
"atoC"	0	0	0	0.17546	0
"PP_2623"	0	0	0	0.17535	0
"PP_3870"	0	0	0	0.17532	0
"recF"	0	0	0	0.17498	0
"prr"	0	0	0	0.16578	0.015306
"PP_2634"	0	0	0	0.17374	0
"PP_3026"	0	0	0	0.17364	0
"PP_2595"	0	0	0	0.17352	0
"PP_2686"	0	0	0	0.1735	0
"cumA"	0	0	0	0.17342	0
"PP_3266"	0	0	0	0.17333	0
"PP_5638"	0	0	0	0.17325	0
"PP_1721"	0	0	0	0.17302	0
"tadA"	0	0	0	0.17275	0
"garK"	0	0	0	0.17271	0
"cmaX"	0	0	0	0.1727	0
"lrp"	0	0	0	0.17206	0
"PP_0262"	0	0	0	0.17174	0
"PP_5372"	0	0	0	0.17161	0
"PP_0131"	0	0	0	0.17148	0
"ubiA"	0	0	0	0.17146	0
"glmP"	0	0	0	0.1712	0
"yigI"	0	0	0	0.17116	0
"PP_5191"	0	0	0	0.17071	0
"PP_3028"	0	0	0	0.17059	0
"PP_2722"	0	0	0	0.17019	0
"PP_5608"	0	0	0	0.16983	0
"PP_0215"	0	0	0	0.16973	0
"PP_2753"	0	0	0	0.16973	0
"PP_2259"	0	0	0	0.16971	0
"PP_1454"	0	0	0	0.16946	0
"ribB"	0	0	0	0.16939	0
"PP_3520"	0	0	0	0.16926	0
"fbpA"	0	0	0	0.16901	0
"rfbD"	0	-0.0034457	0	0.17065	0
"PP_0938"	0	-0.0089709	0	0.17162	0
"mrcA"	0	0	0	0.16844	0
"PP_1687"	0	0	0	0.1682	0
"bfr-I"	0	0	0	0.16819	0
"PP_3869"	0	0	0	0.16784	0
"PP_2884"	0	0	0	0.16773	0
"fliT"	0	0	0	0.1677	0
"opgH"	0	0	0	0.16802	-0.00032053
"PP_1745"	0	0.0016802	0	0.16685	0
"ureC"	0	0	0	0.16731	0
"mdeA"	0	0	0	0.16727	0
"PP_1466"	0	0	0	0.16717	0
"cobL"	0	0	0	0.16715	0
"trmB"	0	0	0	0.16703	0
"PP_3411"	0	0	0	0.16682	0
"PP_2038"	0	0	0	0.16672	0
"mlaF"	0	0	0	0.16668	0
"czcB-II"	0	0	0	0.16668	0
"PP_1979"	0	0	0	0.1662	0
"PP_2622"	0	0	0	0.166	0
"PP_3251"	0	0	0	0.16595	0
"oprJ"	0	0	0	0.16595	0
"PP_2721"	0	0	0	0.16591	0
"PP_5475"	0	0	0	0.1656	0
"xcpT"	0	0	0	0.16551	0
"PP_2261"	0	0	0	0.16533	0
"cidA"	0	0	0	0.16521	0
"PP_2013"	0	0	0	0.16516	0
"PP_4156"	0	0	0	0.16473	0
"PP_0057"	0	0	0	0.16472	0
"trx"	0	0	0	0.16436	0
"PP_2795"	0	0	0	0.16432	0
"PP_3769"	0	0	0	0.1643	0
"PP_5709"	0	0	0	0.16425	0
"PP_2919"	0	0	0	0.16411	0
"PP_4918"	0	0	0	0.1641	0
"ooxB"	0	0	0	0.16403	0
"PP_2558"	0	0	0	0.16365	0
"rmlC"	0	0	0	0.16352	0
"PP_0095"	0	0	0	0.16344	0
"PP_1622"	0	0	0	0.16297	0
"cheR"	0	0	0	0.16281	0
"PP_4521"	0	-0.0066471	0	0.16234	0
"PP_1812"	0	0	-0.057766	0.25175	0
"PP_5438"	0	-0.0089482	-0.026415	0.21434	0
"PP_1842"	0	0	-0.026883	0.20054	0
"PP_4616"	0	0	-0.05598	0.22595	0
"PP_1817"	0	0	-0.044754	0.2139	0
"tsaC"	0	0	-0.050721	0.20139	0
"dppF"	0	-0.066192	-0.050259	0.22357	-0.016609
"modC"	0	-0.0542	-0.066129	0.20545	0
"PP_5201"	0	-0.049718	-0.070778	0.19555	0
"ung"	-0.062447	-0.0039508	-0.060607	0.23821	0
"PP_0162"	-0.059976	0	0	0.19478	0
"PP_0032"	-0.076504	0	0	0.19212	0
"mltD"	-0.076434	0	0	0.18154	0
"PP_3000"	-0.06087	-0.037376	0	0.19923	0
"PP_0757"	-0.10532	0	0	0.21724	0
"PP_2537"	-0.095356	0	0	0.19322	0
"PP_5382"	0.11308	0	0	0.17379	0
"PP_1492"	0.097112	0	0	0.17843	0
"PP_0267"	0.089442	0	0	0.17276	0
"PP_2511"	0.089461	0	0	0.17107	0
"PP_2583"	0.095272	0	0	0.15664	0
"PP_0908"	0.099877	0	0	0.13633	0
"PP_4527"	0.10712	0	0	0.12144	0
"adhP"	0.087047	0	0	0.1273	0
"PP_4969"	0.086339	0	0	0.116	0
"PP_3252"	0.049795	0	0	0.15544	0
"kdpC"	0.049047	0	0	0.15432	0
"PP_2999"	0.064002	0	-0.0024285	0.13404	0
"hyuC"	0.04889	0	0	0.13737	0
"msrB"	0.039529	0	0	0.14095	0
"PP_3197"	0.048041	0	0	0.12557	0
"PP_1006"	0.043552	0	0.029706	0.11292	0
"PP_0680"	0	0	-0.046178	0.1772	0
"fliJ"	0	0	-0.053923	0.14796	0.038123
"PP_2882"	0	0.016615	-0.060221	0.13864	0
"PP_5267"	-0.007944	0	-0.05368	0.15201	0
"PP_3934"	0	0	0	0.16199	0
"xpt"	0	0	0	0.16194	0
"PP_5691"	0	0	0	0.16193	0
"hslR"	0	0	0	0.16188	0
"pstC"	0	0	0	0.16185	0
"PP_2326"	0	0	0	0.16181	0
"PP_4504"	0	0	0	0.16131	0
"PP_5467"	0	0	0	0.1612	0
"xanP"	0	0	0	0.16117	0
"yiaD"	0	0	0	0.16085	0
"PP_1885"	0	0	0	0.16072	0
"PP_2648"	0	0	0	0.16054	0
"PP_4556"	0	0	0	0.16047	0
"qor-II"	0	0	0	0.16007	0
"cadA-I"	0	0	0	0.15974	0
"aroQ-III"	0	0	0	0.15951	0
"calA"	0	0	0	0.15938	0
"PP_3818"	0	0	0	0.15916	0
"PP_1923"	0	0	0	0.15905	0
"bkdR"	0	0	0	0.15899	0
"PP_0503"	0	0	0	0.15816	0
"PP_5405"	0	0	0	0.15804	0
"PP_0222"	0	0	0	0.15745	0
"PP_2823"	0	0	0	0.15721	0
"PP_5151"	0	0	0	0.15709	0
"PP_2094"	0	0	0	0.15695	0
"rlmM"	0	0	0	0.15692	0
"PP_3923"	0	0	0	0.15677	0
"PP_3932"	0	0	0	0.15657	0
"wspC"	0	0	0	0.15638	0
"betT-I"	0	0	0	0.15634	0
"PP_5592"	0	0	0	0.15629	0
"PP_5465"	0	0	0	0.15607	0
"PP_1487"	0.002419	0	0	0.15566	0
"PP_2313"	0	0	0	0.15557	0
"PP_2248"	0	0	0	0.15556	0
"PP_3366"	0	0	0	0.15542	0
"PP_0223"	0	0	0	0.1554	0
"katA"	0	0	0	0.15539	0
"PP_1083"	0	0	0	0.15536	0
"flgA"	0	0	0	0.15529	0
"PP_4296"	0	0	0	0.15522	0
"PP_2009"	0	0	0	0.15512	0
"PP_1955"	0	0	0	0.15512	0
"PP_2741"	0	0	0	0.15495	0
"PP_3313"	0	0	0	0.15491	0
"ccoO-II"	0	0	0	0.15477	0
"PP_0241"	0	0	0	0.15431	0
"PP_4882"	0	0	0	0.1541	0
"PP_1532"	0	0	0	0.15399	0
"sspB"	0	0	0	0.15387	0
"PP_4108"	0	0	0	0.15367	0
"PP_3449"	0	0	0	0.1536	0
"PP_2219"	0	0	0	0.15339	0
"PP_2975"	0	0	0	0.15295	0
"PP_0972"	0	0	0	0.15247	0
"PP_3613"	0	0	0	0.1524	0
"gltR-I"	0	0	0	0.1524	0
"PP_0676"	0	0	0	0.15202	0
"PP_1502"	0	0	0	0.15202	0
"PP_3138"	0	0	0	0.15186	0
"PP_2815"	0	0	0	0.15138	0
"speA"	0	0	0	0.15136	0
"PP_0767"	0	0	0	0.151	0
"PP_3619"	0	0	0	0.15063	0
"PP_2927"	0	0	0	0.15048	0
"hisM"	0	0	0	0.15021	0
"PP_2998"	0	0	0	0.15017	0
"PP_0575"	0	0	0	0.15013	0
"PP_2084"	0	0	0	0.14989	0
"PP_4155"	0	0	0	0.14985	0
